id,name,brand,price_min,price_max,color_options_count,color_options,image_path
2570924,Noviembre Console,BREUER,N/A,N/A,N/A,[],dwr\2570924.jpg
2517375,USM Open Media Console,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\2517375.jpg
2524564,Risom Console Table,Design Within Reach,N/A,N/A,N/A,['Oak'],dwr\2524564.jpg
212,Lau Console Table,Stua,"$1,145.00","$1,245.00",N/A,"['Black', 'Natural Ash', 'Walnut', 'White']",dwr\212.jpg
2560297,Bow Console,101 Copenhagen,N/A,N/A,N/A,['Coffee'],dwr\2560297.jpg
5158-3,"Line Media Console, 70""",Design Within Reach,"$3,745.00","$4,095.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\5158-3.jpg
5031,Line Console,Design Within Reach,"$3,395.00","$3,595.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\5031.jpg
5158-1,"Line Media Console, 35""",Design Within Reach,"$1,895.00","$2,195.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\5158-1.jpg
5158-2,"Line Media Console, 55""",Design Within Reach,"$3,195.00","$3,395.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\5158-2.jpg
5074,Morrison Console,Design Within Reach,"$4,645.00","$5,345.00",N/A,"['Ebonized Oak', 'Oak', 'Walnut']",dwr\5074.jpg
2514135,Edel Console,Design Within Reach,"$2,895.00","$3,095.00",N/A,"['Ebonized Oak', 'Oak', 'Walnut']",dwr\2514135.jpg
2523279,TS Console,Gubi,"$1,295.00","$2,999.00",N/A,['Marble'],dwr\2523279.jpg
2536891,MOS Console,Gebruder Thonet Vienna,N/A,N/A,N/A,['Oak'],dwr\2536891.jpg
2517122,Sommer Console Table,Design Within Reach,"$1,145.00","$1,345.00",N/A,"['Black', 'White']",dwr\2517122.jpg
2555447,Palm Bed,Design Within Reach,"$3,295.00","$4,295.00",N/A,"['Oak', 'Walnut']",dwr\2555447.jpg
2543450,Rey Dining Table,HAY,N/A,N/A,N/A,"['Deep Black', 'Slate Blue', 'Golden', 'Deep Blue']",dwr\2543450.jpg
6004,Platner Stool,Knoll®,"$2,504.00","$5,892.00",N/A,"['Aviator', 'Black', 'Black / White', 'Blue']",dwr\6004.jpg
2575287,Klismos Bench,Knoll®,"$2,861.00","$3,339.00",N/A,"['Black Oak', 'Natural Oak']",dwr\2575287.jpg
2579425-1,Avio Bench Three Seater,Knoll®,"$7,714.00","$8,769.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579425-1.jpg
2579425-2,Avio Bench Two Seater,Knoll®,"$5,109.00","$6,164.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579425-2.jpg
6823,Barcelona Stool,Knoll®,"$3,846.00","$4,726.00",N/A,"['Black', 'Cadet', 'Casablanca', 'Clay']",dwr\6823.jpg
2522967,Barcelona Stool with Cowhide Sling,Knoll®,N/A,N/A,N/A,['Black'],dwr\2522967.jpg
2274,Saarinen Tulip Stool,Knoll®,"$1,353.00","$1,625.00",N/A,"['Alpine', 'Aubergine', 'Aurora', 'Aviator']",dwr\2274.jpg
7123,Risom Sitting Stool,Knoll®,$599.00,$626.00,N/A,"['Ebonized Maple', 'Light Walnut', 'Maple']",dwr\7123.jpg
552-2,"Florence Knoll Bench, Three Seater",Knoll®,"$5,700.00","$6,933.00",N/A,"['Alpine', 'Aquitania', 'Aurora', 'Aviator']",dwr\552-2.jpg
552-1,"Florence Knoll Bench, Two Seater",Knoll®,"$3,454.00","$4,230.00",N/A,"['Alpine', 'Aquitania', 'Aurora', 'Aviator']",dwr\552-1.jpg
2522861-2,"Florence Knoll Relaxed Bench, Square",Knoll®,"$3,817.00","$7,332.00",N/A,"['Alpine', 'Aquitania', 'Aurora', 'Aviator']",dwr\2522861-2.jpg
2522859,Florence Knoll Relaxed Stool,Knoll®,"$1,826.00","$2,239.00",N/A,"['Alpine', 'Aquitania', 'Aurora', 'Aviator']",dwr\2522859.jpg
2522861-1,"Florence Knoll Relaxed Bench, Rectangular",Knoll®,"$2,821.00","$6,117.00",N/A,"['Alpine', 'Aquitania', 'Aurora', 'Aviator']",dwr\2522861-1.jpg
2541615,MR Stool,Knoll®,"$2,604.00","$3,080.00",N/A,"['Aquitania', 'Bering Sea', 'Black', 'Black Sea']",dwr\2541615.jpg
2573428,Arrive Storage Bench,Design Within Reach,N/A,N/A,N/A,"['Black', 'Green']",dwr\2573428.jpg
2560796,Falcon Footstool,Hjelle,N/A,N/A,N/A,"['Black', 'Brown']",dwr\2560796.jpg
2557487,Oslo Bench,Muuto,N/A,N/A,N/A,"['Cream', 'Dark Grey', 'Periwinkle', 'Petal']",dwr\2557487.jpg
2514857,Pyramid Bench,HAY,$795.00,$995.00,N/A,"['Smoked Oak', 'Matte Lacquered Oak', 'Smoked Oak / Red', 'Matte Lacquered Oak / Red']",dwr\2514857.jpg
2559779-1,Asserbo Bench with Backrest,Carl Hansen & Søn,N/A,N/A,N/A,[],dwr\2559779-1.jpg
2518794,Linear Bench,Muuto,$859.00,"$1,095.00",N/A,['Oak'],dwr\2518794.jpg
2556469-1,"The Weaver's Stool, Counter Height",Origin Made,"$1,195.00","$1,395.00",N/A,"['Ash', 'Walnut']",dwr\2556469-1.jpg
2567100,Gather Bench,dk3,"$2,295.00","$2,795.00",N/A,"['Oak', 'Walnut']",dwr\2567100.jpg
2559779-2,Asserbo Bench,Carl Hansen & Søn,N/A,N/A,N/A,[],dwr\2559779-2.jpg
280,CH53 Stool,Carl Hansen & Søn,N/A,N/A,N/A,"['Black', 'Oiled Oak']",dwr\280.jpg
6429,Moller 80A Stool,J.L.Møllers Møbelfabrik,$995.00,"$1,295.00",N/A,"['Black', 'Grey']",dwr\6429.jpg
2556469-2,"The Weaver's Stool, Table Height",Origin Made,$795.00,$995.00,N/A,"['Ash', 'Walnut']",dwr\2556469-2.jpg
2540899,Single Curve Stool,Gebruder Thonet Vienna,"$1,195.00","$1,295.00",N/A,['Oak'],dwr\2540899.jpg
1022-2,"Nelson Platform Bench, Wood Base",Herman Miller,"$1,695.00","$2,495.00",N/A,"['Natural Maple', 'Walnut']",dwr\1022-2.jpg
1022-1,"Nelson Platform Bench, Metal Base",Herman Miller,N/A,N/A,N/A,"['Natural Maple', 'Walnut']",dwr\1022-1.jpg
2635-2,"Matera Storage Bench, Large",Design Within Reach,"$1,795.00","$1,995.00",N/A,"['Oak', 'Walnut']",dwr\2635-2.jpg
237-3,"Eames Turned Stool, Shape C",Herman Miller,$995.00,"$1,295.00",N/A,"['Ebony', 'Walnut']",dwr\237-3.jpg
2635-1,"Matera Storage Bench, Small",Design Within Reach,"$1,595.00","$1,795.00",N/A,"['Oak', 'Walnut']",dwr\2635-1.jpg
2516169-2,"Line Storage Bench, Large",Design Within Reach,"$1,895.00","$2,195.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\2516169-2.jpg
9638,Artek Aalto Stool 60,Artek,$390.00,$435.00,N/A,"['Birch Veneer', 'Laminate White', 'Linoleum Black']",dwr\9638.jpg
237-1,"Eames Turned Stool, Shape A",Herman Miller,$995.00,"$1,295.00",N/A,"['Ebony', 'Walnut']",dwr\237-1.jpg
2524358,Curved Bench,Kristina Dam Studio,N/A,N/A,N/A,"['Black', 'White']",dwr\2524358.jpg
237-2,"Eames Turned Stool, Shape B",Herman Miller,$995.00,"$1,295.00",N/A,"['Ebony', 'Walnut']",dwr\237-2.jpg
2516169-1,"Line Storage Bench, Small",Design Within Reach,"$1,595.00","$1,795.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\2516169-1.jpg
2529460,Noboru Step Ladder,Fritz Hansen,N/A,N/A,N/A,['Oak'],dwr\2529460.jpg
237-4,"Eames Turned Stool, Shape D",Herman Miller,$995.00,"$1,295.00",N/A,"['Ebony', 'Walnut']",dwr\237-4.jpg
1925,Jens Bench,Design Within Reach,"$1,895.00","$2,695.00",N/A,"['Bark', 'Basalt', 'Black', 'Buff']",dwr\1925.jpg
2530763,Maharam Edition Artek Aalto Stool 60,Artek,N/A,N/A,N/A,"['Beeswax', 'Black / White', 'Koi', 'National']",dwr\2530763.jpg
2514240,Vella Bench,Design Within Reach,"$1,295.00","$1,595.00",N/A,"['Buff', 'Off White', 'Warm Grey']",dwr\2514240.jpg
2517528,524 Tabouret Berger Stool,Cassina,N/A,N/A,N/A,"['Black', 'Oak', 'Walnut']",dwr\2517528.jpg
2516149,Originals Loveseat Bench,L. Ercolani,"$1,425.00","$2,430.00",N/A,"['Black Ash', 'Natural Ash', 'Walnut', 'Whitened Ash']",dwr\2516149.jpg
2518036,523 Tabouret Méribel Stool,Cassina,N/A,N/A,N/A,"['Black', 'Oak', 'Walnut']",dwr\2518036.jpg
5782-3,"Moller Model 63A Bench, Woven",J.L.Møllers Møbelfabrik,N/A,N/A,N/A,['Natural'],dwr\5782-3.jpg
2527189,Altura Step Stool,Case,N/A,N/A,N/A,['Oak'],dwr\2527189.jpg
2527194,Nelson Cane Bench,Herman Miller,"$1,595.00","$2,495.00",N/A,"['Natural Maple', 'Walnut']",dwr\2527194.jpg
2521936,Noviembre Stool,BREUER,N/A,N/A,N/A,"['White Oak', 'Black Painted Oak']",dwr\2521936.jpg
2536383,Tripot Bench,BREUER,N/A,N/A,N/A,['Walnut'],dwr\2536383.jpg
2516235,VON Bench,L. Ercolani,"$2,110.00","$2,910.00",N/A,"['Walnut / Black', 'Ash / Natural', 'Black Ash / Black']",dwr\2516235.jpg
2521939,Kam Bench,Design Within Reach,N/A,N/A,N/A,['Walnut'],dwr\2521939.jpg
2536386,Embrace Table,Offi,N/A,N/A,N/A,"['Birch', 'Walnut']",dwr\2536386.jpg
7885,Yanagi Butterfly Stool,Vitra,"$1,160.00","$1,490.00",N/A,"['Maple', 'Palisander']",dwr\7885.jpg
2562-1,"Vitra Cork Stools, Shape A",Vitra,N/A,N/A,N/A,[],dwr\2562-1.jpg
2562-3,"Vitra Cork Stools, Shape C",Vitra,N/A,N/A,N/A,[],dwr\2562-3.jpg
2522613,Dania Stool,Fritz Hansen,N/A,N/A,N/A,"['Oak', 'Teak']",dwr\2522613.jpg
2560295,Big Foot Bench,101 Copenhagen,N/A,N/A,N/A,['White'],dwr\2560295.jpg
2530759,057 Civil Bench,Cassina,"$3,980.00","$6,190.00",N/A,"['Oak', 'Teak', 'Black Painted Oak']",dwr\2530759.jpg
